1;H;
2;B;263,437,84,57,
3;O;166,456,13,157,199,
4;Q;497,
5;X;56,
6;B;59,259,473,117,
7;X;161,298,96,171,414,411,
8;T;213,70,
9;A;248,469,480,344,466,41,
10;H;12,275,100,354,425,82,
11;B;173,219,444,264,200,256,
12;O;63,162,279,40,
13;J;
14;C;466,327,
15;I;406,
16;N;268,
17;U;470,114,283,21,
18;O;96,316,53,
19;D;80,217,257,252,64,33,
20;G;440,154,84,132,
21;C;
22;O;178,289,389,
23;I;113,244,192,
24;T;215,278,325,434,
25;R;102,343,40,365,206,
26;N;252,236,
27;C;166,188,
28;R;243,310,108,319,250,64,
29;T;
30;U;
31;E;66,432,
32;X;166,61,275,
33;U;306,150,313,465,384,
34;D;470,487,238,216,220,
35;G;278,267,359,268,434,66,
36;J;402,
37;N;193,
38;N;319,
39;B;437,358,185,436,384,77,
40;S;178,372,244,180,
41;V;188,348,122,
42;O;113,348,53,218,
43;Z;224,138,408,268,
44;A;393,397,346,448,463,391,
45;S;
46;E;499,
47;Y;288,378,198,261,190,
48;R;
49;Q;230,391,144,299,199,
50;K;233,
51;W;184,
52;G;125,79,270,59,368,
53;L;244,63,100,264,330,
54;L;213,415,488,125,
55;F;236,146,
56;D;
57;G;91,292,271,218,
58;B;165,172,
59;V;
60;S;302,176,118,
61;Q;195,
62;Q;394,
63;T;71,382,114,
64;C;466,315,234,275,79,
65;X;78,
66;N;
67;G;482,184,239,480,
68;V;268,104,252,444,
69;Z;330,445,
70;O;304,160,290,154,
71;T;183,313,227,168,289,
72;C;248,208,286,129,294,354,
73;E;264,220,447,
74;K;297,410,135,295,
75;A;405,277,
76;K;114,78,387,
77;F;108,181,382,470,
78;V;106,
79;H;446,495,455,302,94,
80;G;396,422,
81;F;
82;O;326,173,91,
83;N;331,424,183,168,305,
84;W;440,275,
85;O;
86;J;309,
87;E;432,234,
88;Y;
89;U;285,365,
90;R;341,106,297,
91;X;444,363,461,469,462,
92;P;414,218,490,271,150,99,
93;A;443,439,294,237,142,154,
94;T;99,428,196,416,
95;J;
96;P;463,
97;A;301,314,279,490,425,
98;W;
99;P;379,453,
100;D;342,136,
101;M;122,487,202,136,205,
102;H;211,170,165,
103;L;280,
104;T;189,
105;Z;399,286,271,
106;A;237,350,340,141,205,
107;Z;485,
108;F;278,209,340,
109;P;244,285,291,218,
110;G;426,162,111,341,472,235,
111;H;445,216,
112;J;476,334,
113;I;489,
114;Z;133,122,398,484,407,
115;G;156,386,394,428,219,193,
116;E;379,
117;Z;120,150,178,141,
118;W;452,
119;B;417,
120;J;297,328,
121;U;196,474,284,136,
122;C;368,272,246,140,493,
123;A;443,386,
124;G;252,496,463,
125;T;442,465,152,456,132,195,
126;Q;402,362,382,418,
127;C;365,446,156,
128;R;
129;C;179,
130;I;342,184,169,321,
131;A;174,397,138,152,369,
132;O;134,485,
133;U;287,280,295,293,422,
134;T;
135;L;387,337,247,
136;C;410,230,494,225,273,252,
137;L;443,372,271,330,
138;O;451,376,
139;W;219,
140;J;244,354,252,283,430,226,
141;H;282,425,202,163,236,247,
142;T;277,427,497,217,385,202,
143;P;397,268,442,158,393,
144;D;202,185,382,250,333,
145;V;156,193,
146;Z;299,
147;S;220,158,180,442,407,349,
148;Y;215,280,340,486,362,240,
149;Z;310,247,157,275,345,
150;F;447,457,461,455,302,
151;O;448,180,189,460,303,225,
152;E;
153;L;249,
154;V;194,439,489,227,327,423,
155;P;474,
156;B;301,496,378,372,402,208,
157;A;415,
158;O;196,490,273,340,
159;H;
160;G;302,256,240,350,310,
161;S;441,242,
162;Q;389,494,438,258,257,
163;B;457,206,292,341,471,
164;N;463,202,478,369,195,420,
165;G;469,
166;I;399,485,379,
167;F;
168;S;351,444,337,249,440,
169;F;368,344,433,
170;R;375,413,309,298,
171;P;394,347,441,333,
172;J;352,468,264,
173;T;360,481,183,
174;U;490,206,495,200,429,
175;I;243,455,375,361,
176;N;361,303,180,
177;M;246,
178;E;191,499,291,313,285,
179;A;339,420,
180;D;284,219,
181;O;
182;C;
183;J;332,235,468,265,298,325,
184;O;392,448,
185;O;272,224,373,278,409,338,
186;N;459,347,472,292,355,
187;N;
188;U;256,300,334,328,
189;D;406,213,
190;N;273,337,493,369,
191;L;228,281,
192;P;305,
193;O;450,313,425,234,362,318,
194;B;
195;F;
196;B;317,329,
197;X;380,324,451,444,304,215,
198;D;
199;D;314,406,259,497,341,
200;W;
201;I;
202;X;218,419,240,306,340,440,
203;P;
204;K;448,283,484,
205;T;237,438,
206;C;286,499,249,283,
207;O;413,
208;B;332,373,409,
209;F;338,250,427,
210;T;416,489,230,315,319,
211;A;411,289,387,456,
212;N;
213;X;268,400,
214;V;
215;V;232,318,227,441,249,385,
216;Q;418,234,415,
217;K;223,302,498,356,278,
218;N;330,325,286,417,307,318,
219;X;281,267,345,428,
220;C;429,
221;A;428,399,
222;G;293,330,393,
223;A;403,312,472,367,435,
224;H;402,448,229,429,
225;P;246,243,285,
226;Z;248,323,262,298,258,
227;V;293,357,331,437,259,
228;G;368,446,266,409,
229;A;257,401,381,382,320,248,
230;S;422,316,312,408,231,
231;O;402,270,
232;A;398,436,409,307,
233;E;377,489,370,424,399,
234;C;302,394,400,
235;B;469,479,
236;J;438,353,494,
237;P;490,426,
238;G;284,
239;W;444,260,450,
240;Y;340,348,457,259,318,
241;B;414,
242;N;309,383,
243;J;494,440,
244;C;298,443,416,
245;V;487,482,
246;L;460,348,401,494,377,
247;W;277,333,282,295,265,
248;H;424,417,380,342,291,
249;N;472,257,360,443,308,409,
250;E;495,
251;G;267,307,440,443,376,
252;B;328,271,400,378,
253;X;291,458,486,
254;I;262,320,391,
255;I;455,279,450,
256;U;423,381,
257;G;414,491,379,417,409,335,
258;T;331,401,
259;K;
260;S;348,363,410,499,286,404,
261;R;434,332,308,
262;U;274,451,
263;F;272,469,471,434,270,
264;D;452,487,366,324,407,
265;F;480,442,440,474,447,
266;Q;395,378,
267;C;335,293,288,
268;X;358,362,322,445,328,
269;P;348,488,381,310,346,
270;M;420,335,
271;C;490,455,299,356,429,
272;L;345,
273;F;360,297,284,488,
274;E;290,
275;U;333,319,308,
276;N;364,
277;T;353,470,439,
278;M;328,329,352,441,280,371,
279;B;308,
280;I;
281;X;
282;B;467,370,436,460,
283;K;292,332,376,
284;H;419,312,
285;A;472,417,470,
286;R;436,
287;S;416,483,440,417,492,
288;F;478,469,428,497,
289;X;
290;J;412,299,466,
291;Y;381,499,337,
292;C;305,375,470,464,356,
293;K;496,388,418,
294;N;322,360,427,433,388,
295;W;422,405,356,410,335,
296;T;327,
297;Y;486,330,404,425,
298;C;
299;L;369,472,332,318,
300;B;341,350,
301;E;388,399,303,
302;K;434,449,409,
303;L;419,442,407,330,476,
304;F;455,466,403,485,
305;B;481,
306;H;406,374,479,393,346,428,
307;K;367,425,
308;V;329,420,423,427,459,
309;N;413,369,382,471,
310;N;319,317,470,
311;Z;
312;G;494,442,479,
313;T;468,351,
314;X;340,384,
315;R;492,370,434,405,459,
316;A;464,
317;H;407,375,387,
318;G;
319;M;
320;V;429,461,375,345,
321;Z;401,327,
322;J;
323;H;462,410,416,367,379,
324;K;400,356,408,418,443,427,
325;F;431,412,
326;B;458,373,464,385,
327;A;367,397,498,338,387,
328;K;366,
329;Q;472,
330;H;
331;R;369,390,479,353,
332;V;
333;L;349,368,
334;K;
335;G;344,468,
336;Z;349,375,343,405,
337;Z;
338;P;461,356,
339;J;363,362,
340;A;355,347,433,
341;G;431,465,442,437,452,369,
342;V;
343;H;453,
344;E;
345;A;420,380,359,356,
346;F;367,352,421,
347;E;
348;D;352,421,389,
349;A;415,432,485,351,
350;C;465,444,
351;B;357,419,
352;U;397,387,391,447,395,
353;P;
354;Y;484,441,398,
355;O;413,430,495,394,
356;R;438,489,
357;L;477,400,
358;W;
359;S;473,
360;Y;
361;N;
362;K;498,398,462,
363;Y;
364;A;462,401,
365;Y;424,447,459,480,485,
366;Y;488,423,419,487,
367;G;
368;D;456,476,464,496,
369;J;484,
370;E;484,431,440,412,486,
371;I;427,
372;R;498,373,493,413,444,
373;B;470,415,427,416,
374;T;425,392,434,
375;W;435,413,399,
376;U;
377;B;424,474,442,459,
378;Z;468,433,
379;I;488,493,491,
380;S;406,451,431,
381;Z;466,415,493,440,
382;P;384,
383;P;493,435,410,
384;N;
385;G;433,478,
386;Y;420,
387;D;432,414,389,
388;Z;424,481,466,440,
389;V;443,442,415,412,465,422,
390;E;433,410,415,494,411,468,
391;T;486,441,492,419,
392;M;494,442,404,412,495,
393;M;437,481,444,497,
394;P;493,483,497,476,
395;P;408,424,406,441,439,
396;S;473,
397;C;
398;L;463,453,451,499,428,417,
399;X;496,426,
400;C;447,450,446,
401;K;458,438,460,488,481,
402;A;
403;B;495,
404;P;423,
405;H;443,464,418,472,423,
406;I;409,
407;O;497,
408;E;437,450,
409;P;472,414,467,419,499,489,
410;E;455,415,440,480,492,
411;K;475,412,419,
412;P;
413;B;498,446,464,
414;X;477,454,445,
415;V;431,476,477,449,
416;L;433,485,
417;E;494,
418;E;443,420,462,473,
419;F;421,
420;M;
421;K;469,447,
422;V;457,481,
423;D;424,481,
424;J;
425;K;481,450,429,477,
426;M;460,440,429,432,456,451,
427;O;456,
428;F;
429;N;442,467,490,472,457,
430;Z;434,497,
