0;F;
1;D;286,472,390,355,288,479,407,149,
2;L;331,27,
3;Y;30,442,269,434,243,392,271,
4;T;381,485,12,248,364,441,70,
5;P;221,273,115,56,463,
6;A;102,319,61,383,
7;N;
8;I;
9;O;305,325,
10;J;251,13,102,314,
11;L;484,194,404,183,366,
12;K;
13;F;
14;K;113,234,
15;H;414,122,235,280,129,458,498,251,
16;D;86,121,243,83,
17;E;
18;T;148,176,294,397,131,455,400,
19;Q;447,328,334,406,
20;H;409,331,126,280,240,376,59,475,
21;H;266,69,277,
22;L;152,408,
23;Q;96,296,352,425,269,351,
24;G;92,356,54,233,129,468,
25;C;373,331,340,110,80,
26;E;304,356,
27;Y;205,180,256,266,53,477,252,381,70,
28;G;444,157,483,251,128,385,55,
29;U;68,350,244,297,279,357,432,140,
30;Z;63,112,
31;J;294,43,227,48,309,431,149,189,
32;U;46,358,
33;Z;381,42,161,
34;Z;120,279,384,419,461,345,296,
35;A;455,414,483,308,451,
36;E;114,415,495,
37;C;392,361,269,235,499,493,
38;H;39,414,154,76,
39;T;77,357,470,
40;E;342,261,462,92,183,320,153,
41;R;157,460,467,142,466,308,295,137,
42;M;108,147,469,417,322,420,106,202,
43;Y;86,180,
44;O;351,233,156,341,141,
45;S;477,136,420,65,78,334,246,
46;K;60,89,102,416,489,101,
47;S;463,390,337,344,427,376,149,109,93,
48;P;80,384,493,114,312,423,239,
49;K;484,465,413,99,475,221,202,122,423,
50;G;52,
51;U;371,
52;W;125,172,378,419,307,210,247,
53;L;
54;U;144,140,
55;P;417,61,331,88,151,292,263,
56;D;309,294,
57;L;
58;B;139,63,369,218,344,
59;I;152,496,419,350,290,130,133,
60;S;180,103,117,87,472,487,491,447,
61;Y;439,189,
62;I;469,405,105,356,73,287,313,384,
63;Q;236,71,325,105,469,246,
64;M;380,183,259,
65;D;420,
66;V;305,118,126,325,77,427,
67;P;75,309,
68;Z;209,169,
69;N;250,455,212,217,347,
70;S;83,450,88,324,341,486,401,97,
71;V;101,169,296,104,
72;X;123,466,344,372,
73;Z;
74;U;196,373,157,100,277,374,491,
75;X;224,475,116,350,364,484,166,124,
76;W;412,151,192,
77;E;292,439,110,279,464,
78;Z;237,428,443,305,206,116,303,211,
79;X;184,481,112,367,
80;G;281,435,313,363,101,115,232,
81;R;430,135,254,140,
82;X;98,
83;M;468,496,243,395,371,
84;F;
85;M;139,230,299,280,475,
86;P;96,
87;U;200,191,183,363,139,304,499,
88;O;486,396,261,493,100,484,
89;W;
90;G;298,349,
91;I;
92;A;139,206,
93;P;404,356,256,320,
94;Y;154,350,169,284,
95;V;300,213,430,397,176,469,131,
96;F;352,131,266,107,394,202,427,283,
97;Y;386,
98;U;346,202,218,309,357,231,315,
99;D;222,421,
100;V;125,337,486,263,360,362,121,246,
101;M;130,225,139,410,454,406,493,
102;W;
103;W;351,122,160,496,
104;Z;
105;L;181,421,458,354,
106;P;
107;E;276,270,114,224,
108;T;328,149,330,475,241,326,474,176,199,
109;U;199,146,429,174,283,253,
110;J;460,428,266,385,190,311,474,214,275,
111;H;351,431,318,352,333,
112;Q;114,131,264,397,165,375,357,
113;A;154,461,339,417,413,462,347,240,
114;C;218,
115;A;240,
116;C;354,
117;C;387,463,176,185,443,351,
118;Q;307,225,143,
119;X;375,201,242,
120;W;149,285,459,132,456,128,169,
121;S;352,322,279,414,160,
122;W;436,131,425,309,304,
123;B;182,426,366,289,
124;B;
125;Q;445,459,325,197,168,307,
126;L;425,
127;R;279,
128;V;
129;G;270,384,
130;H;402,408,251,339,163,447,465,
131;E;336,418,322,256,
132;Z;211,391,366,194,429,358,367,465,
133;X;429,162,
134;V;433,191,367,243,354,428,380,
135;F;411,
136;A;340,
137;K;191,
138;F;346,223,194,327,212,403,213,277,446,
139;R;268,353,279,422,444,349,152,306,494,
140;U;319,154,443,153,493,314,
141;L;454,295,377,333,362,182,160,217,381,
142;F;355,341,
143;I;242,343,380,
144;S;364,376,402,175,244,319,460,
145;Y;334,467,241,386,248,161,
146;F;247,287,360,331,312,228,407,357,468,
147;G;388,323,197,
148;L;402,472,
149;Q;352,159,213,367,169,
150;A;443,309,
151;L;199,197,178,333,236,202,380,299,
152;N;366,170,330,
153;K;191,366,203,404,
154;H;467,179,441,223,392,
155;B;393,499,268,401,298,349,
156;P;479,320,449,247,417,274,328,381,
157;J;229,204,364,470,446,333,205,375,210,
158;P;393,231,329,338,357,397,346,448,
159;O;420,
160;F;
161;R;378,316,371,
162;U;472,464,452,367,208,422,337,
163;Q;402,237,255,450,205,320,494,431,
164;N;348,278,336,
165;Q;240,
166;W;383,456,377,180,
167;K;391,210,485,
168;E;486,355,348,485,456,454,198,208,
169;E;495,390,373,345,476,252,329,383,
170;B;305,227,329,431,356,
171;A;
172;F;440,259,214,225,469,318,312,177,
173;Q;285,290,432,176,480,
174;Q;415,389,
175;L;306,391,308,471,436,443,253,
176;F;388,364,344,
177;N;272,465,455,499,
178;L;
179;K;
180;R;454,
181;N;321,
182;E;476,437,242,364,454,405,245,228,
183;C;459,485,381,448,193,
184;H;317,246,442,392,
185;W;465,490,332,198,437,347,444,405,
186;T;472,443,214,363,416,293,
187;L;352,297,317,473,313,228,
188;H;
189;R;457,491,242,280,453,354,408,
190;J;
191;M;464,199,255,386,
192;S;331,457,
193;F;281,267,377,471,360,341,
194;Y;
195;X;461,494,240,499,
196;P;327,328,498,
197;G;389,329,348,387,208,250,226,
198;J;473,392,
199;V;484,301,497,209,
200;C;477,290,277,354,367,
201;B;
202;G;262,283,432,366,325,
203;J;455,
204;B;395,404,
205;F;454,
206;K;357,
207;D;454,
208;T;457,252,275,293,292,210,478,
209;H;230,371,
210;P;220,365,218,293,
211;F;408,287,350,487,279,499,381,302,
212;M;257,448,
213;G;260,226,431,237,420,
214;U;374,333,
215;T;
216;W;447,229,275,308,487,301,313,
217;S;239,434,481,232,241,304,373,350,222,
218;X;363,312,367,279,325,497,335,
219;Y;492,
220;L;238,360,451,266,
221;X;444,373,465,
222;G;291,268,487,371,
223;Z;
224;W;
225;I;365,326,286,257,
226;E;352,324,340,445,399,413,408,462,365,
227;C;363,340,299,254,460,371,345,425,
228;S;444,429,422,339,
229;A;287,334,341,236,495,356,403,
230;D;471,424,
231;G;419,318,494,422,
232;S;405,275,483,469,265,
233;E;341,477,327,378,332,267,235,442,
234;M;355,
235;Z;331,477,440,362,407,389,
236;E;480,496,353,489,
237;D;420,404,394,384,443,
238;Q;467,356,314,477,
239;Q;386,
240;W;359,285,371,316,367,
241;X;391,418,404,398,
242;U;283,423,474,415,334,319,266,
243;X;361,268,
244;Q;253,356,307,290,324,491,
245;C;482,336,248,268,372,292,469,375,
246;E;263,404,483,498,493,346,443,451,422,
247;T;457,282,299,473,
248;T;430,357,
249;W;497,
250;B;360,399,410,463,
251;Y;412,346,359,261,319,
252;V;
253;U;379,446,475,359,385,
254;K;323,406,
255;D;314,350,267,366,396,
256;W;430,271,493,496,439,399,465,
257;F;331,
258;O;292,357,342,494,404,284,320,490,
259;K;419,444,372,407,422,371,298,464,
260;Z;486,497,389,429,358,303,317,413,
261;P;384,407,283,473,470,440,391,398,
262;C;360,364,402,442,371,458,
263;D;469,478,437,366,
264;S;485,471,344,482,315,347,337,464,
265;O;317,480,365,288,497,381,357,331,
266;E;396,493,275,395,
267;C;339,
268;X;
269;Z;475,373,346,288,407,281,380,321,
270;N;291,286,
271;P;
272;A;
273;J;302,458,470,339,
274;U;
275;X;474,331,276,401,381,394,338,
276;F;298,285,487,380,
277;R;387,330,
278;I;290,
279;U;294,409,391,304,461,
280;S;460,496,426,478,493,362,293,361,
281;Q;314,310,410,351,485,444,
282;M;302,446,339,429,403,428,477,
283;R;464,335,
284;G;405,302,436,339,455,374,497,435,
285;F;472,319,395,
286;O;349,291,391,
287;K;486,393,410,407,404,433,326,
288;P;479,388,438,437,294,477,314,
289;N;387,473,482,
290;X;341,463,365,
291;U;
292;W;385,340,480,
293;M;380,424,418,
294;J;402,436,456,310,335,320,351,314,434,
295;K;466,299,387,
296;W;480,410,395,428,441,
297;K;483,465,456,400,424,437,497,
298;V;400,370,
299;B;
300;P;493,
301;I;424,435,
302;S;324,461,318,440,442,337,
303;U;489,337,327,316,309,382,328,348,407,
304;L;386,433,496,357,
305;G;353,457,433,384,449,
306;M;
307;K;
308;E;498,403,467,
309;N;356,450,375,338,420,
310;P;390,
311;X;425,335,361,372,370,
312;W;491,314,329,457,347,
313;N;447,496,
314;S;485,462,448,356,
315;J;
316;U;381,404,405,457,317,
317;T;
318;G;428,379,476,362,433,329,
319;M;444,443,357,387,489,496,421,474,
320;U;
321;O;454,339,348,342,421,329,419,
322;S;392,389,324,415,
323;X;461,370,367,
324;B;349,395,444,379,457,360,474,
325;B;489,346,487,342,449,399,
326;J;484,399,358,435,346,336,402,
